パス,名前,種類,アクセス許可,継承,適用先
"H:\2025_CALL","NT AUTHORITY\SYSTEM","フル コントロール","許可","True","サブフォルダ、 ファイル"
"H:\2025_CALL","NT AUTHORITY\Authenticated Users","変更","許可","True","このフォルダ、"
"H:\2025_CALL","NT AUTHORITY\Authenticated Users","変更","許可","True","サブフォルダ、 ファイル"
"H:\2025_CALL","BUILTIN\Users","読み取りと実行","許可","True","このフォルダ、"
"H:\2025_CALL","BUILTIN\Users","読み取りと実行","許可","True","サブフォルダ、 ファイル"
"H:\2026_CALL","BUILTIN\Administrators","フル コントロール","許可","True","このフォルダ、"
"H:\2026_CALL","BUILTIN\Administrators","フル コントロール","許可","True","サブフォルダ、 ファイル"
"H:\2026_CALL","NT AUTHORITY\SYSTEM","フル コントロール","許可","True","このフォルダ、"
"H:\2026_CALL","NT AUTHORITY\SYSTEM","フル コントロール","許可","True","サブフォルダ、 ファイル"
"H:\2026_CALL","NT AUTHORITY\Authenticated Users","変更","許可","True","このフォルダ、"
"H:\2026_CALL","NT AUTHORITY\Authenticated Users","変更","許可","True","サブフォルダ、 ファイル"
"H:\2026_CALL","BUILTIN\Users","読み取りと実行","許可","True","このフォルダ、"
"H:\2026_CALL","BUILTIN\Users","読み取りと実行","許可","True","サブフォルダ、 ファイル"
"H:\Aoi","BUILTIN\Administrators","フル コントロール","許可","True","このフォルダ、"
"H:\Aoi","BUILTIN\Administrators","フル コントロール","許可","True","サブフォルダ、 ファイル"
"H:\Aoi","NT AUTHORITY\SYSTEM","フル コントロール","許可","True","このフォルダ、"
"H:\Aoi","NT AUTHORITY\SYSTEM","フル コントロール","許可","True","サブフォルダ、 ファイル"
"H:\Aoi","NT AUTHORITY\Authenticated Users","変更","許可","True","このフォルダ、"
"H:\Aoi","NT AUTHORITY\Authenticated Users","変更","許可","True","サブフォルダ、 ファイル"
"H:\Aoi","BUILTIN\Users","読み取りと実行","許可","True","このフォルダ、"
"H:\Aoi","BUILTIN\Users","読み取りと実行","許可","True","サブフォルダ、 ファイル"
"H:\Driver","BUILTIN\Administrators","フル コントロール","許可","True","このフォルダ、"
"H:\Driver","BUILTIN\Administrators","フル コントロール","許可","True","サブフォルダ、 ファイル"
"H:\Driver","NT AUTHORITY\SYSTEM","フル コントロール","許可","True","このフォルダ、"
"H:\Driver","NT AUTHORITY\SYSTEM","フル コントロール","許可","True","サブフォルダ、 ファイル"
"H:\Driver","NT AUTHORITY\Authenticated Users","変更","許可","True","このフォルダ、"
"H:\Driver","NT AUTHORITY\Authenticated Users","変更","許可","True","サブフォルダ、 ファイル"
"H:\Driver","BUILTIN\Users","読み取りと実行","許可","True","このフォルダ、"
"H:\Driver","BUILTIN\Users","読み取りと実行","許可","True","サブフォルダ、 ファイル"
"H:\Edumall","BUILTIN\Administrators","フル コントロール","許可","True","このフォルダ、"
"H:\Edumall","BUILTIN\Administrators","フル コントロール","許可","True","サブフォルダ、 ファイル"
"H:\Edumall","NT AUTHORITY\SYSTEM","フル コントロール","許可","True","このフォルダ、"
"H:\Edumall","NT AUTHORITY\SYSTEM","フル コントロール","許可","True","サブフォルダ、 ファイル"
"H:\Edumall","NT AUTHORITY\Authenticated Users","変更","許可","True","このフォルダ、"
"H:\Edumall","NT AUTHORITY\Authenticated Users","変更","許可","True","サブフォルダ、 ファイル"
"H:\Edumall","BUILTIN\Users","読み取りと実行","許可","True","このフォルダ、"
"H:\Edumall","BUILTIN\Users","読み取りと実行","許可","True","サブフォルダ、 ファイル"
