名前,グループ,プロファイル,有効,規則,操作,プログラム,ローカルIP,リモートIP,ローカルアドレス,リモートアドレス,プロトコル,ローカルポート,リモートポート
Start エクスペリエンス アプリ,Start エクスペリエンス アプリ,"ドメイン, プライベート, パブリック",有効,送信,許可,任意,任意,任意,任意,任意,任意,任意,任意
TPM 仮想スマートカード管理 (TCP 送信),TPM 仮想スマートカード管理,"プライベート, パブリック",無効,送信,許可,%SystemRoot%\system32\RmtTpmVscMgrSvr.exe,任意,ローカルサブネット,任意,ローカルサブネット,TCP,任意,任意
TPM 仮想スマートカード管理 (TCP 送信),TPM 仮想スマートカード管理,"ドメイン",無効,送信,許可,%SystemRoot%\system32\RmtTpmVscMgrSvr.exe,任意,任意,任意,任意,TCP,任意,任意
Widgets Platform Runtime,Widgets Platform Runtime,"ドメイン, プライベート, パブリック",有効,送信,許可,任意,任意,任意,任意,任意,任意,任意,任意
Widgets Platform Runtime,Widgets Platform Runtime,"ドメイン, プライベート, パブリック",有効,送信,許可,任意,任意,任意,任意,任意,任意,任意,任意
Wi-Fi Direct スキャン サービスの使用 (送信),Wi-Fi Direct ネットワーク探索,"パブリック",有効,送信,許可,%SystemRoot%\system32\svchost.exe,任意,任意,任意,任意,任意,任意,任意
Wi-Fi Direct スプーラーの使用 (送信),Wi-Fi Direct ネットワーク探索,"パブリック",有効,送信,許可,%SystemRoot%\system32\spoolsv.exe,任意,任意,任意,任意,任意,任意,任意
Wi-Fi Direct ネットワーク探索 (送信),Wi-Fi Direct ネットワーク探索,"パブリック",有効,送信,許可,%SystemRoot%\system32\dashost.exe,任意,任意,任意,任意,任意,任意,任意
Windows Defender SmartScreen,Windows Defender SmartScreen,"ドメイン, プライベート, パブリック",有効,送信,許可,任意,任意,任意,任意,任意,任意,任意,任意
Windows Management Instrumentation (WMI 送信),Windows Management Instrumentation (WMI),"プライベート, パブリック",無効,送信,許可,%SystemRoot%\system32\svchost.exe,任意,ローカルサブネット,任意,ローカルサブネット,TCP,任意,任意
Windows Management Instrumentation (WMI 送信),Windows Management Instrumentation (WMI),"ドメイン",無効,送信,許可,%SystemRoot%\system32\svchost.exe,任意,任意,任意,任意,TCP,任意,任意
Windows Media Player (TCP 送信),Windows Media Player,"すべて",無効,送信,許可,%ProgramFiles%\Windows Media Player\wmplayer.exe,任意,任意,任意,任意,TCP,任意,任意
Windows Media Player (UDP 送信),Windows Media Player,"すべて",無効,送信,許可,%ProgramFiles%\Windows Media Player\wmplayer.exe,任意,任意,任意,任意,UDP,任意,任意
Windows Media Player x86 (TCP 送信),Windows Media Player,"すべて",無効,送信,許可,%ProgramFiles(x86)%\Windows Media Player\wmplayer.exe,任意,任意,任意,任意,TCP,任意,任意
Windows Media Player x86 (UDP 送信),Windows Media Player,"すべて",無効,送信,許可,%ProgramFiles(x86)%\Windows Media Player\wmplayer.exe,任意,任意,任意,任意,UDP,任意,任意
Windows Media Player ネットワーク共有サービス (HTTP ストリーミング送信),Windows Media Player ネットワーク共有サービス,"プライベート, パブリック",無効,送信,許可,System,任意,ローカルサブネット,任意,ローカルサブネット,TCP,任意,10243
Windows Media Player ネットワーク共有サービス (HTTP ストリーミング送信),Windows Media Player ネットワーク共有サービス,"ドメイン",無効,送信,許可,System,任意,任意,任意,任意,TCP,任意,10243
Windows Media Player ネットワーク共有サービス (qWave TCP 送信),Windows Media Player ネットワーク共有サービス,"ドメイン",無効,送信,許可,%SystemRoot%\system32\svchost.exe,任意,任意,任意,任意,TCP,任意,2177
Windows Media Player ネットワーク共有サービス (qWave TCP 送信),Windows Media Player ネットワーク共有サービス,"プライベート, パブリック",無効,送信,許可,%SystemRoot%\system32\svchost.exe,任意,ローカルサブネット,任意,ローカルサブネット,TCP,任意,2177
Windows Media Player ネットワーク共有サービス (qWave UDP 送信),Windows Media Player ネットワーク共有サービス,"ドメイン",無効,送信,許可,%SystemRoot%\system32\svchost.exe,任意,任意,任意,任意,UDP,任意,2177
Windows Media Player ネットワーク共有サービス (qWave UDP 送信),Windows Media Player ネットワーク共有サービス,"プライベート, パブリック",無効,送信,許可,%SystemRoot%\system32\svchost.exe,任意,ローカルサブネット,任意,ローカルサブネット,UDP,任意,2177
Windows Media Player ネットワーク共有サービス (SSDP 送信),Windows Media Player ネットワーク共有サービス,"すべて",無効,送信,許可,%SystemRoot%\system32\svchost.exe,任意,ローカルサブネット,任意,ローカルサブネット,UDP,任意,1900
Windows Media Player ネットワーク共有サービス (TCP 送信),Windows Media Player ネットワーク共有サービス,"ドメイン",無効,送信,許可,%PROGRAMFILES%\Windows Media Player\wmpnetwk.exe,任意,任意,任意,任意,TCP,任意,任意
Windows Media Player ネットワーク共有サービス (TCP 送信),Windows Media Player ネットワーク共有サービス,"プライベート, パブリック",無効,送信,許可,%PROGRAMFILES%\Windows Media Player\wmpnetwk.exe,任意,ローカルサブネット,任意,ローカルサブネット,TCP,任意,任意
Windows Media Player ネットワーク共有サービス (UDP 送信),Windows Media Player ネットワーク共有サービス,"ドメイン",無効,送信,許可,%PROGRAMFILES%\Windows Media Player\wmpnetwk.exe,任意,任意,任意,任意,UDP,任意,任意
Windows Media Player ネットワーク共有サービス (UDP 送信),Windows Media Player ネットワーク共有サービス,"プライベート, パブリック",無効,送信,許可,%PROGRAMFILES%\Windows Media Player\wmpnetwk.exe,任意,ローカルサブネット,任意,ローカルサブネット,UDP,任意,任意
Windows Media Player ネットワーク共有サービス (UPnP 送信),Windows Media Player ネットワーク共有サービス,"すべて",無効,送信,許可,System,任意,ローカルサブネット,任意,ローカルサブネット,TCP,任意,任意
Windows Media Player ネットワーク共有サービス (UPnPHost 送信),Windows Media Player ネットワーク共有サービス,"すべて",無効,送信,許可,%SystemRoot%\system32\svchost.exe,任意,ローカルサブネット,任意,ローカルサブネット,TCP,任意,任意
Windows Media Player ネットワーク共有サービス (ストリーミング TCP 送信),Windows Media Player ネットワーク共有サービス,"プライベート, パブリック",無効,送信,許可,%PROGRAMFILES%\Windows Media Player\wmplayer.exe,任意,ローカルサブネット,任意,ローカルサブネット,TCP,任意,任意
Windows Media Player ネットワーク共有サービス (ストリーミング TCP 送信),Windows Media Player ネットワーク共有サービス,"ドメイン",無効,送信,許可,%PROGRAMFILES%\Windows Media Player\wmplayer.exe,任意,任意,任意,任意,TCP,任意,任意
Windows Media Player ネットワーク共有サービス (ストリーミング UDP 送信),Windows Media Player ネットワーク共有サービス,"ドメイン",無効,送信,許可,%PROGRAMFILES%\Windows Media Player\wmplayer.exe,任意,任意,任意,任意,UDP,任意,任意
Windows Media Player ネットワーク共有サービス (ストリーミング UDP 送信),Windows Media Player ネットワーク共有サービス,"プライベート, パブリック",無効,送信,許可,%PROGRAMFILES%\Windows Media Player\wmplayer.exe,任意,ローカルサブネット,任意,ローカルサブネット,UDP,任意,任意
Windows Web Experience Pack,Windows Web Experience Pack,"ドメイン, プライベート, パブリック",有効,送信,許可,任意,任意,任意,任意,任意,任意,任意,任意
Windows Web Experience Pack,Windows Web Experience Pack,"ドメイン, プライベート, パブリック",有効,送信,許可,任意,任意,任意,任意,任意,任意,任意,任意
Windows グループ作業ツール コンピューター名の登録サービス (PNRP 送信),Windows グループ作業ツール コンピューター名の登録サービス,"すべて",無効,送信,許可,%SystemRoot%\system32\svchost.exe,任意,任意,任意,任意,UDP,任意,3540
Windows グループ作業ツール コンピューター名の登録サービス (SSDP 送信),Windows グループ作業ツール コンピューター名の登録サービス,"すべて",無効,送信,許可,%SystemRoot%\system32\svchost.exe,任意,ローカルサブネット,任意,ローカルサブネット,UDP,任意,1900
Windows シェル エクスペリエンス,Windows シェル エクスペリエンス,"ドメイン, プライベート, パブリック",有効,送信,許可,任意,任意,任意,任意,任意,任意,任意,任意
Windows シェル エクスペリエンス,Windows シェル エクスペリエンス,"ドメイン, プライベート",有効,送信,許可,任意,任意,任意,任意,任意,任意,任意,任意
Windows セキュリティ,Windows セキュリティ,"ドメイン, プライベート, パブリック",有効,送信,許可,任意,任意,任意,任意,任意,任意,任意,任意
Windows ターミナル,Windows ターミナル,"ドメイン, プライベート, パブリック",有効,送信,許可,任意,任意,任意,任意,任意,任意,任意,任意
Windows ターミナル,Windows ターミナル,"ドメイン, プライベート, パブリック",有効,送信,許可,任意,任意,任意,任意,任意,任意,任意,任意
Windows デバイス管理デバイス登録プログラム (TCP 送信),Windows デバイスの管理,"すべて",有効,送信,許可,%SystemRoot%\system32\deviceenroller.exe,任意,任意,任意,任意,TCP,49152-65535,80 443
Windows デバイス管理証明書インストーラー (TCP 送信),Windows デバイスの管理,"すべて",有効,送信,許可,%SystemRoot%\system32\dmcertinst.exe,任意,任意,任意,任意,TCP,49152-65535,任意
Windows デバイス管理登録サービス (TCP 送信),Windows デバイスの管理,"すべて",有効,送信,許可,%SystemRoot%\system32\svchost.exe,任意,任意,任意,任意,TCP,49152-65535,任意
Windows デバイス管理同期クライアント (TCP 送信),Windows デバイスの管理,"すべて",有効,送信,許可,%SystemRoot%\system32\omadmclient.exe,任意,任意,任意,任意,TCP,49152-65535,任意
Windows の既定のロック画面,Windows の既定のロック画面,"ドメイン, プライベート, パブリック",有効,送信,許可,任意,任意,任意,任意,任意,任意,任意,任意
Windows ピア ツー ピア共同作業ファンデーション (PNRP 送信),Windows ピア ツー ピア共同作業ファンデーション,"すべて",無効,送信,許可,%SystemRoot%\system32\svchost.exe,任意,任意,任意,任意,UDP,任意,3540
Windows ピア ツー ピア共同作業ファンデーション (SSDP 送信),Windows ピア ツー ピア共同作業ファンデーション,"すべて",無効,送信,許可,%SystemRoot%\system32\svchost.exe,任意,ローカルサブネット,任意,ローカルサブネット,UDP,任意,1900
Windows ピア ツー ピア共同作業ファンデーション (TCP 送信),Windows ピア ツー ピア共同作業ファンデーション,"すべて",無効,送信,許可,%SystemRoot%\system32\p2phost.exe,任意,任意,任意,任意,TCP,任意,任意
Windows ピア ツー ピア共同作業ファンデーション (WSD 送信),Windows ピア ツー ピア共同作業ファンデーション,"すべて",無効,送信,許可,%SystemRoot%\system32\p2phost.exe,任意,ローカルサブネット,任意,ローカルサブネット,UDP,任意,3702
Windows 印刷,Windows 印刷,"ドメイン, プライベート, パブリック",有効,送信,許可,任意,任意,任意,任意,任意,任意,任意,任意
Windows 機能エクスペリエンス パック,Windows 機能エクスペリエンス パック,"ドメイン, プライベート, パブリック",有効,送信,許可,任意,任意,任意,任意,任意,任意,任意,任意
Windows 機能エクスペリエンス パック,Windows 機能エクスペリエンス パック,"ドメイン, プライベート, パブリック",有効,送信,許可,任意,任意,任意,任意,任意,任意,任意,任意
Windows 機能エクスペリエンス パック,Windows 機能エクスペリエンス パック,"ドメイン, プライベート, パブリック",有効,送信,許可,任意,任意,任意,任意,任意,任意,任意,任意
Windows 機能エクスペリエンス パック,Windows 機能エクスペリエンス パック,"ドメイン, プライベート, パブリック",有効,送信,許可,任意,任意,任意,任意,任意,任意,任意,任意
Windows 機能エクスペリエンス パック,Windows 機能エクスペリエンス パック,"ドメイン, プライベート, パブリック",有効,送信,許可,任意,任意,任意,任意,任意,任意,任意,任意
Windows 機能エクスペリエンス パック,Windows 機能エクスペリエンス パック,"ドメイン, プライベート, パブリック",有効,送信,許可,任意,任意,任意,任意,任意,任意,任意,任意
Windows 機能エクスペリエンス パック,Windows 機能エクスペリエンス パック,"ドメイン, プライベート, パブリック",有効,送信,許可,任意,任意,任意,任意,任意,任意,任意,任意
Windows 機能エクスペリエンス パック,Windows 機能エクスペリエンス パック,"ドメイン, プライベート, パブリック",有効,送信,許可,任意,任意,任意,任意,任意,任意,任意,任意
Windows 機能エクスペリエンス パック,Windows 機能エクスペリエンス パック,"ドメイン, プライベート, パブリック",有効,送信,許可,任意,任意,任意,任意,任意,任意,任意,任意
Windows 機能エクスペリエンス パック,Windows 機能エクスペリエンス パック,"ドメイン, プライベート, パブリック",有効,送信,許可,任意,任意,任意,任意,任意,任意,任意,任意
Windows 電卓,Windows 電卓,"ドメイン, プライベート, パブリック",有効,送信,許可,任意,任意,任意,任意,任意,任意,任意,任意
windows_ie_ac_001,windows_ie_ac_001,"ドメイン, プライベート, パブリック",有効,送信,許可,任意,任意,任意,任意,任意,任意,任意,任意
WFD ASP Coordination Protocol (UDP 送信),WLAN サービス - WFD Application Services Platform Coordination Protocol (UDP 使用),"すべて",有効,送信,許可,%systemroot%\system32\svchost.exe,任意,ローカルサブネット,任意,ローカルサブネット,UDP,7235,7235
WFD ドライバーのみ (TCP 送信),WLAN サービス - WFD サービス カーネル モード ドライバー規則,"すべて",有効,送信,許可,System,任意,任意,任意,任意,TCP,任意,任意
WFD ドライバーのみ (UDP 送信),WLAN サービス - WFD サービス カーネル モード ドライバー規則,"すべて",有効,送信,許可,System,任意,任意,任意,任意,UDP,任意,任意
Xbox Game UI,Xbox Game UI,"ドメイン, プライベート, パブリック",有効,送信,許可,任意,任意,任意,任意,任意,任意,任意,任意
アカウント,アカウント,"ドメイン, プライベート, パブリック",有効,送信,許可,任意,任意,任意,任意,任意,任意,任意,任意
キャプティブ ポータル フロー,キャプティブ ポータル フロー,"ドメイン, プライベート, パブリック",有効,送信,許可,任意,任意,任意,任意,任意,任意,任意,任意
クラウド ID (TCP 送信),クラウド ID,"すべて",有効,送信,許可,%SystemRoot%\system32\svchost.exe,任意,任意,任意,任意,TCP,任意,443
クリックで実行,クリックで実行,"ドメイン, プライベート, パブリック",有効,送信,許可,任意,任意,任意,任意,任意,任意,任意,任意
コア ネットワーク - DNS (UDP 送信),コア ネットワーク,"すべて",有効,送信,許可,%SystemRoot%\system32\svchost.exe,任意,任意,任意,任意,UDP,任意,53
コア ネットワーク - IPHTTPS (TCP-送信),コア ネットワーク,"すべて",有効,送信,許可,%SystemRoot%\system32\svchost.exe,任意,任意,任意,任意,TCP,任意,IPHTTPSOut
コア ネットワーク - IPv6 (IPv6 送信),コア ネットワーク,"すべて",有効,送信,許可,System,任意,任意,任意,任意,41,任意,任意
コア ネットワーク - IPv6 用動的ホスト構成プロトコル (DHCPV6-送信),コア ネットワーク,"すべて",有効,送信,許可,%SystemRoot%\system32\svchost.exe,任意,任意,任意,任意,UDP,546,547
コア ネットワーク - Teredo (UDP 送信),コア ネットワーク,"すべて",有効,送信,許可,%SystemRoot%\system32\svchost.exe,任意,任意,任意,任意,UDP,任意,任意
コア ネットワーク - インターネット グループ管理プロトコル (IGMP 送信),コア ネットワーク,"すべて",有効,送信,許可,System,任意,任意,任意,任意,2,任意,任意
コア ネットワーク - グループ ポリシー (LSASS 送信),コア ネットワーク,"ドメイン",有効,送信,許可,%SystemRoot%\system32\lsass.exe,任意,任意,任意,任意,TCP,任意,任意
コア ネットワーク - グループ ポリシー (NP 送信),コア ネットワーク,"ドメイン",有効,送信,許可,System,任意,任意,任意,任意,TCP,任意,445
コア ネットワーク - グループ ポリシー (TCP 送信),コア ネットワーク,"ドメイン",有効,送信,許可,%SystemRoot%\system32\svchost.exe,任意,任意,任意,任意,TCP,任意,任意
コア ネットワーク - パケットが大きすぎます (ICMPv6 送信),コア ネットワーク,"すべて",有効,送信,許可,System,任意,任意,任意,任意,ICMPv6,RPC,任意
コア ネットワーク - パラメーターの問題 (ICMPv6 送信),コア ネットワーク,"すべて",有効,送信,許可,System,任意,任意,任意,任意,ICMPv6,RPC,任意
コア ネットワーク - マルチキャスト リスナー クエリ (ICMPv6 送信),コア ネットワーク,"すべて",有効,送信,許可,System,任意,ローカルサブネット6,任意,ローカルサブネット6,ICMPv6,RPC,任意
コア ネットワーク - マルチキャスト リスナー レポート (ICMPv6 送信),コア ネットワーク,"すべて",有効,送信,許可,System,任意,ローカルサブネット6,任意,ローカルサブネット6,ICMPv6,RPC,任意
コア ネットワーク - マルチキャスト リスナー レポート v2 (ICMPv6 送信),コア ネットワーク,"すべて",有効,送信,許可,System,任意,ローカルサブネット6,任意,ローカルサブネット6,ICMPv6,RPC,任意
コア ネットワーク - マルチキャスト リスナー完了 (ICMPv6 送信),コア ネットワーク,"すべて",有効,送信,許可,System,任意,ローカルサブネット6,任意,ローカルサブネット6,ICMPv6,RPC,任意
コア ネットワーク - ルーター アドバタイズ (ICMPv6 送信),コア ネットワーク,"すべて",有効,送信,許可,System,fe80::/64,ローカルサブネット6 ff02::1 fe80::/64,fe80::/64,ローカルサブネット6 ff02::1 fe80::/64,ICMPv6,RPC,任意
コア ネットワーク - ルーター要請 (ICMPv6 送信),コア ネットワーク,"すべて",有効,送信,許可,System,任意,ローカルサブネット6 ff02::2 fe80::/64,任意,ローカルサブネット6 ff02::2 fe80::/64,ICMPv6,RPC,任意
コア ネットワーク - 近隣探索アドバタイズ (ICMPv6 送信),コア ネットワーク,"すべて",有効,送信,許可,System,任意,任意,任意,任意,ICMPv6,RPC,任意
コア ネットワーク - 近隣探索要請 (ICMPv6 送信),コア ネットワーク,"すべて",有効,送信,許可,System,任意,任意,任意,任意,ICMPv6,RPC,任意
コア ネットワーク - 時間超過 (ICMPv6 送信),コア ネットワーク,"すべて",有効,送信,許可,System,任意,任意,任意,任意,ICMPv6,RPC,任意
コア ネットワーク - 動的ホスト構成プロトコル (DHCP 送信),コア ネットワーク,"すべて",有効,送信,許可,%SystemRoot%\system32\svchost.exe,任意,任意,任意,任意,UDP,68,67
コア ネットワーク診断 - ICMP エコー要求 (ICMPv4 送信),コア ネットワーク診断,"ドメイン",無効,送信,許可,System,任意,任意,任意,任意,ICMPv4,RPC,任意
コア ネットワーク診断 - ICMP エコー要求 (ICMPv4 送信),コア ネットワーク診断,"プライベート, パブリック",無効,送信,許可,System,任意,ローカルサブネット4,任意,ローカルサブネット4,ICMPv4,RPC,任意
コア ネットワーク診断 - ICMP エコー要求 (ICMPv6 送信),コア ネットワーク診断,"プライベート, パブリック",無効,送信,許可,System,任意,ローカルサブネット6,任意,ローカルサブネット6,ICMPv6,RPC,任意
コア ネットワーク診断 - ICMP エコー要求 (ICMPv6 送信),コア ネットワーク診断,"ドメイン",無効,送信,許可,System,任意,任意,任意,任意,ICMPv6,RPC,任意
スタート,スタート,"ドメイン, プライベート, パブリック",有効,送信,許可,任意,任意,任意,任意,任意,任意,任意,任意
デスクトップ アプリ Web ビューアー,デスクトップ アプリ Web ビューアー,"ドメイン, プライベート, パブリック",有効,送信,許可,任意,任意,任意,任意,任意,任意,任意,任意
テスト,テスト,"ドメイン, プライベート, パブリック",有効,送信,許可,任意,任意,任意,任意,任意,任意,任意,任意
デバイス キャスト ストリーミング サーバー (RTP ストリーミング送信),デバイス キャスト機能,"プライベート",有効,送信,許可,%SystemRoot%\system32\mdeserver.exe,任意,ローカルサブネット,任意,ローカルサブネット,UDP,任意,任意
デバイス キャスト ストリーミング サーバー (RTP ストリーミング送信),デバイス キャスト機能,"ドメイン",有効,送信,許可,%SystemRoot%\system32\mdeserver.exe,任意,任意,任意,任意,UDP,任意,任意
デバイス キャスト ストリーミング サーバー (RTP ストリーミング送信),デバイス キャスト機能,"パブリック",有効,送信,許可,%SystemRoot%\system32\mdeserver.exe,任意,PlayToDevice,任意,PlayToDevice,UDP,任意,任意
デバイス キャスト機能 (qWave TCP 送信),デバイス キャスト機能,"プライベート, パブリック",有効,送信,許可,%SystemRoot%\system32\svchost.exe,任意,PlayToDevice,任意,PlayToDevice,TCP,任意,2177
デバイス キャスト機能 (qWave UDP 送信),デバイス キャスト機能,"プライベート, パブリック",有効,送信,許可,%SystemRoot%\system32\svchost.exe,任意,PlayToDevice,任意,PlayToDevice,UDP,任意,2177
ナレーター,ナレーター,"ドメイン, プライベート, パブリック",有効,送信,許可,任意,任意,任意,任意,任意,任意,任意,任意
ネットワーク探索 (LLMNR UDP 送信),ネットワーク探索,"ドメイン, パブリック",無効,送信,許可,%SystemRoot%\system32\svchost.exe,任意,ローカルサブネット,任意,ローカルサブネット,UDP,任意,5355
ネットワーク探索 (LLMNR UDP 送信),ネットワーク探索,"プライベート",有効,送信,許可,%SystemRoot%\system32\svchost.exe,任意,ローカルサブネット,任意,ローカルサブネット,UDP,任意,5355
ネットワーク探索 (NB データグラム送信),ネットワーク探索,"ドメイン",無効,送信,許可,System,任意,任意,任意,任意,UDP,任意,138
ネットワーク探索 (NB データグラム送信),ネットワーク探索,"パブリック",無効,送信,許可,System,任意,ローカルサブネット,任意,ローカルサブネット,UDP,任意,138
ネットワーク探索 (NB データグラム送信),ネットワーク探索,"プライベート",有効,送信,許可,System,任意,ローカルサブネット,任意,ローカルサブネット,UDP,任意,138
ネットワーク探索 (NB 名送信),ネットワーク探索,"ドメイン",無効,送信,許可,System,任意,任意,任意,任意,UDP,任意,137
ネットワーク探索 (NB 名送信),ネットワーク探索,"パブリック",無効,送信,許可,System,任意,ローカルサブネット,任意,ローカルサブネット,UDP,任意,137
ネットワーク探索 (NB 名送信),ネットワーク探索,"プライベート",有効,送信,許可,System,任意,ローカルサブネット,任意,ローカルサブネット,UDP,任意,137
ネットワーク探索 (Pub WSD 送信),ネットワーク探索,"ドメイン, パブリック",無効,送信,許可,%SystemRoot%\system32\svchost.exe,任意,ローカルサブネット,任意,ローカルサブネット,UDP,任意,3702
ネットワーク探索 (Pub WSD 送信),ネットワーク探索,"プライベート",有効,送信,許可,%SystemRoot%\system32\svchost.exe,任意,ローカルサブネット,任意,ローカルサブネット,UDP,任意,3702
ネットワーク探索 (SSDP 送信),ネットワーク探索,"ドメイン, パブリック",無効,送信,許可,%SystemRoot%\system32\svchost.exe,任意,ローカルサブネット,任意,ローカルサブネット,UDP,任意,1900
ネットワーク探索 (SSDP 送信),ネットワーク探索,"プライベート",有効,送信,許可,%SystemRoot%\system32\svchost.exe,任意,ローカルサブネット,任意,ローカルサブネット,UDP,任意,1900
ネットワーク探索 (UPnP 送信),ネットワーク探索,"プライベート",有効,送信,許可,%SystemRoot%\system32\svchost.exe,任意,ローカルサブネット,任意,ローカルサブネット,TCP,任意,2869
ネットワーク探索 (UPnP 送信),ネットワーク探索,"ドメイン",無効,送信,許可,%SystemRoot%\system32\svchost.exe,任意,任意,任意,任意,TCP,任意,2869
ネットワーク探索 (UPnP 送信),ネットワーク探索,"パブリック",無効,送信,許可,%SystemRoot%\system32\svchost.exe,任意,ローカルサブネット,任意,ローカルサブネット,TCP,任意,2869
ネットワーク探索 (UPnPHost 送信),ネットワーク探索,"プライベート",有効,送信,許可,%SystemRoot%\system32\svchost.exe,任意,ローカルサブネット,任意,ローカルサブネット,TCP,任意,2869
ネットワーク探索 (UPnPHost 送信),ネットワーク探索,"ドメイン, パブリック",無効,送信,許可,%SystemRoot%\system32\svchost.exe,任意,ローカルサブネット,任意,ローカルサブネット,TCP,任意,2869
ネットワーク探索 (WSD EventsSecure 送信),ネットワーク探索,"パブリック",無効,送信,許可,%SystemRoot%\system32\svchost.exe,任意,ローカルサブネット,任意,ローカルサブネット,TCP,任意,5358
ネットワーク探索 (WSD EventsSecure 送信),ネットワーク探索,"プライベート",有効,送信,許可,%SystemRoot%\system32\svchost.exe,任意,ローカルサブネット,任意,ローカルサブネット,TCP,任意,5358
ネットワーク探索 (WSD EventsSecure 送信),ネットワーク探索,"ドメイン",無効,送信,許可,%SystemRoot%\system32\svchost.exe,任意,任意,任意,任意,TCP,任意,5358
ネットワーク探索 (WSD イベント送信),ネットワーク探索,"プライベート",有効,送信,許可,%SystemRoot%\system32\svchost.exe,任意,ローカルサブネット,任意,ローカルサブネット,TCP,任意,5357
ネットワーク探索 (WSD イベント送信),ネットワーク探索,"パブリック",無効,送信,許可,%SystemRoot%\system32\svchost.exe,任意,ローカルサブネット,任意,ローカルサブネット,TCP,任意,5357
ネットワーク探索 (WSD イベント送信),ネットワーク探索,"ドメイン",無効,送信,許可,%SystemRoot%\system32\svchost.exe,任意,任意,任意,任意,TCP,任意,5357
ネットワーク探索 (WSD 送信),ネットワーク探索,"ドメイン, パブリック",無効,送信,許可,%SystemRoot%\system32\svchost.exe,任意,ローカルサブネット,任意,ローカルサブネット,UDP,任意,3702
ネットワーク探索 (WSD 送信),ネットワーク探索,"プライベート",有効,送信,許可,%SystemRoot%\system32\svchost.exe,任意,ローカルサブネット,任意,ローカルサブネット,UDP,任意,3702
ファイルとプリンターの共有 (LLMNR UDP 送信),ファイルとプリンターの共有,"すべて",無効,送信,許可,%SystemRoot%\system32\svchost.exe,任意,ローカルサブネット,任意,ローカルサブネット,UDP,任意,5355
ファイルとプリンターの共有 (NB データグラム送信),ファイルとプリンターの共有,"プライベート, パブリック",無効,送信,許可,System,任意,ローカルサブネット,任意,ローカルサブネット,UDP,任意,138
ファイルとプリンターの共有 (NB データグラム送信),ファイルとプリンターの共有,"ドメイン",無効,送信,許可,System,任意,任意,任意,任意,UDP,任意,138
ファイルとプリンターの共有 (NB 名送信),ファイルとプリンターの共有,"ドメイン",無効,送信,許可,System,任意,任意,任意,任意,UDP,任意,137
ファイルとプリンターの共有 (NB 名送信),ファイルとプリンターの共有,"プライベート, パブリック",無効,送信,許可,System,任意,ローカルサブネット,任意,ローカルサブネット,UDP,任意,137
ファイルとプリンターの共有 (NB-Session 送信),ファイルとプリンターの共有,"ドメイン",無効,送信,許可,System,任意,任意,任意,任意,TCP,任意,139
ファイルとプリンターの共有 (NB-Session 送信),ファイルとプリンターの共有,"プライベート, パブリック",無効,送信,許可,System,任意,ローカルサブネット,任意,ローカルサブネット,TCP,任意,139
ファイルとプリンターの共有 (SMB 送信),ファイルとプリンターの共有,"プライベート, パブリック",無効,送信,許可,System,任意,ローカルサブネット,任意,ローカルサブネット,TCP,任意,445
ファイルとプリンターの共有 (SMB 送信),ファイルとプリンターの共有,"ドメイン",無効,送信,許可,System,任意,任意,任意,任意,TCP,任意,445
ファイルとプリンターの共有 (エコー要求 - ICMPv4 送信),ファイルとプリンターの共有,"ドメイン",無効,送信,許可,System,任意,任意,任意,任意,ICMPv4,RPC,任意
ファイルとプリンターの共有 (エコー要求 - ICMPv4 送信),ファイルとプリンターの共有,"プライベート, パブリック",無効,送信,許可,System,任意,ローカルサブネット4,任意,ローカルサブネット4,ICMPv4,RPC,任意
ファイルとプリンターの共有 (エコー要求 - ICMPv6 送信),ファイルとプリンターの共有,"プライベート, パブリック",無効,送信,許可,System,任意,ローカルサブネット6,任意,ローカルサブネット6,ICMPv6,RPC,任意
ファイルとプリンターの共有 (エコー要求 - ICMPv6 送信),ファイルとプリンターの共有,"ドメイン",無効,送信,許可,System,任意,任意,任意,任意,ICMPv6,RPC,任意
ファイルとプリンターの共有 (制限付き) (LLMNR-UDP 出力),ファイルとプリンターの共有 (制限付き),"すべて",無効,送信,許可,%SystemRoot%\system32\svchost.exe,任意,ローカルサブネット,任意,ローカルサブネット,UDP,任意,5355
ファイルとプリンターの共有 (制限付き) (SMB 出力),ファイルとプリンターの共有 (制限付き),"すべて",無効,送信,許可,System,任意,任意,任意,任意,TCP,任意,445
ファイルとプリンターの共有 (制限付き) (エコー要求 - ICMPv4 送信),ファイルとプリンターの共有 (制限付き),"すべて",無効,送信,許可,System,任意,任意,任意,任意,ICMPv4,RPC,任意
ファイルとプリンターの共有 (制限付き) (エコー要求 - ICMPv6 送信),ファイルとプリンターの共有 (制限付き),"すべて",無効,送信,許可,System,任意,任意,任意,任意,ICMPv6,RPC,任意
メールとアカウント,メールとアカウント,"ドメイン, プライベート, パブリック",有効,送信,許可,任意,任意,任意,任意,任意,任意,任意,任意
リモート アシスタンス (PNRP-送信),リモート アシスタンス,"パブリック",無効,送信,許可,%systemroot%\system32\svchost.exe,任意,任意,任意,任意,UDP,任意,任意
リモート アシスタンス (PNRP-送信),リモート アシスタンス,"ドメイン, プライベート",有効,送信,許可,%systemroot%\system32\svchost.exe,任意,任意,任意,任意,UDP,任意,任意
