名前,グループ,プロファイル,有効,規則,操作,プログラム,ローカルIP,リモートIP,ローカルアドレス,リモートアドレス,プロトコル,ローカルポート,リモートポート
コア ネットワーク - インターネット グループ管理プロトコル (IGMP 受信),コア ネットワーク,"すべて",有効,受信,許可,System,任意,任意,任意,任意,2,任意,任意
コア ネットワーク - パケットが大きすぎます (ICMPv6 受信),コア ネットワーク,"すべて",有効,受信,許可,System,任意,任意,任意,任意,ICMPv6,RPC,任意
コア ネットワーク - パラメーターの問題 (ICMPv6 受信),コア ネットワーク,"すべて",有効,受信,許可,System,任意,任意,任意,任意,ICMPv6,RPC,任意
コア ネットワーク - マルチキャスト リスナー クエリ (ICMPv6 受信),コア ネットワーク,"すべて",有効,受信,許可,System,任意,ローカルサブネット6,任意,ローカルサブネット6,ICMPv6,RPC,任意
コア ネットワーク - マルチキャスト リスナー レポート (ICMPv6 受信),コア ネットワーク,"すべて",有効,受信,許可,System,任意,ローカルサブネット6,任意,ローカルサブネット6,ICMPv6,RPC,任意
コア ネットワーク - マルチキャスト リスナー レポート v2 (ICMPv6 受信),コア ネットワーク,"すべて",有効,受信,許可,System,任意,ローカルサブネット6,任意,ローカルサブネット6,ICMPv6,RPC,任意
コア ネットワーク - マルチキャスト リスナー完了 (ICMPv6 受信),コア ネットワーク,"すべて",有効,受信,許可,System,任意,ローカルサブネット6,任意,ローカルサブネット6,ICMPv6,RPC,任意
コア ネットワーク - ルーター アドバタイズ (ICMPv6 受信),コア ネットワーク,"すべて",有効,受信,許可,System,任意,fe80::/64,任意,fe80::/64,ICMPv6,RPC,任意
コア ネットワーク - ルーター要請 (ICMPv6-受信),コア ネットワーク,"すべて",有効,受信,許可,System,任意,任意,任意,任意,ICMPv6,RPC,任意
コア ネットワーク - 近隣探索アドバタイズ (ICMPv6 受信),コア ネットワーク,"すべて",有効,受信,許可,System,任意,任意,任意,任意,ICMPv6,RPC,任意
コア ネットワーク - 近隣探索要請 (ICMPv6 受信),コア ネットワーク,"すべて",有効,受信,許可,System,任意,任意,任意,任意,ICMPv6,RPC,任意
